2026-01-15 21:23:51.526 [info] Using Cloud Code URL: https://daily-cloudcode-pa.googleapis.com
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:58192
2026-01-15 21:23:51.526 [info] update#setState idle
2026-01-15 21:23:52.553 [error] Error: invalid_grant
    at Gaxios._request (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\gaxios\build\cjs\src\gaxios.js:154:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async OAuth2Client.refreshTokenNoCache (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\google-auth-library\build\src\auth\oauth2client.js:259:19)
2026-01-15 21:23:52.558 [error] Error initializing AntigravityAuthMainService: invalid_grant
2026-01-15 21:33:38.530 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:41.482 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:44.498 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:47.506 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:50.510 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:53.539 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:56.522 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:33:59.538 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:02.533 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:05.541 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:08.583 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:11.580 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:14.602 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:17.599 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:34:20.603 [error] Failed to fetch NUXes: invalid_grant
